occurrenceId,verbatimScientificName,scientificName,key,matchType,confidence,status,rank,kingdom,phylum,class,order,family,genus,species
"IPB-2001VP-RN009-ST2-FN020","Brotia","Brotia H.Adams, 1866","4617180","EXACT","96","ACCEPTED","GENUS","Animalia","Mollusca","Gastropoda",,"Pachychilidae","Brotia",
"IPB-2001VP-RN009-ST2-FN021","Brotia","Brotia H.Adams, 1866","4617180","EXACT","96","ACCEPTED","GENUS","Animalia","Mollusca","Gastropoda",,"Pachychilidae","Brotia",
"IPB-2001VP-RN009-ST2-FN022","Melanoides","Melanoides Olivier, 1804","2300936","EXACT","95","ACCEPTED","GENUS","Animalia","Mollusca","Gastropoda",,"Thiaridae","Melanoides",
"IPB-2001VP-RN009-ST3-FN010","Brotia","Brotia H.Adams, 1866","4617180","EXACT","96","ACCEPTED","GENUS","Animalia","Mollusca","Gastropoda",,"Pachychilidae","Brotia",
"IPB-2001VP-RN009-ST4-FN005","Brotia","Brotia H.Adams, 1866","4617180","EXACT","96","ACCEPTED","GENUS","Animalia","Mollusca","Gastropoda",,"Pachychilidae","Brotia",
"IPB-2001VP-RN009-ST4-FN006","Thiara","Thiara Röding, 1798","2300931","EXACT","95","ACCEPTED","GENUS","Animalia","Mollusca","Gastropoda",,"Thiaridae","Thiara",
"IPB-2001VP-RN009-ST4-FN009","Melanoides","Melanoides Olivier, 1804","2300936","EXACT","95","ACCEPTED","GENUS","Animalia","Mollusca","Gastropoda",,"Thiaridae","Melanoides",
"IPB-2001VP-RN009-ST4-FN010","Melanoides","Melanoides Olivier, 1804","2300936","EXACT","95","ACCEPTED","GENUS","Animalia","Mollusca","Gastropoda",,"Thiaridae","Melanoides",
"IPB-2001VP-RN009-ST4-FN011","Melanoides","Melanoides Olivier, 1804","2300936","EXACT","95","ACCEPTED","GENUS","Animalia","Mollusca","Gastropoda",,"Thiaridae","Melanoides",
"IPB-2001VP-RN009-ST4-FN013","Brotia","Brotia H.Adams, 1866","4617180","EXACT","96","ACCEPTED","GENUS","Animalia","Mollusca","Gastropoda",,"Pachychilidae","Brotia",
"IPB-2001VP-RN009-ST4-FN014","Thiara","Thiara Röding, 1798","2300931","EXACT","95","ACCEPTED","GENUS","Animalia","Mollusca","Gastropoda",,"Thiaridae","Thiara",
"IPB-2001VP-RN009-ST5-FN005","Brotia","Brotia H.Adams, 1866","4617180","EXACT","96","ACCEPTED","GENUS","Animalia","Mollusca","Gastropoda",,"Pachychilidae","Brotia",
"IPB-2002CT-RN012-ST1-FN002","Brotia","Brotia H.Adams, 1866","4617180","EXACT","96","ACCEPTED","GENUS","Animalia","Mollusca","Gastropoda",,"Pachychilidae","Brotia",
"IPB-2002CT-RN012-ST1-FN003","Melanoides","Melanoides Olivier, 1804","2300936","EXACT","95","ACCEPTED","GENUS","Animalia","Mollusca","Gastropoda",,"Thiaridae","Melanoides",
"IPB-2002CT-RN012-ST2-FN002","Brotia","Brotia H.Adams, 1866","4617180","EXACT","96","ACCEPTED","GENUS","Animalia","Mollusca","Gastropoda",,"Pachychilidae","Brotia",
"IPB-2002CT-RN012-ST2-FN003","Melanoides","Melanoides Olivier, 1804","2300936","EXACT","95","ACCEPTED","GENUS","Animalia","Mollusca","Gastropoda",,"Thiaridae","Melanoides",
"IPB-2002CT-RN012-ST2-FN015","Chironomidae","Chironomidae","3343","EXACT","97","ACCEPTED","FAMILY","Animalia","Arthropoda","Insecta","Diptera","Chironomidae",,
"IPB-2002CT-RN012-ST3-FN002","Melanoides","Melanoides Olivier, 1804","2300936","EXACT","95","ACCEPTED","GENUS","Animalia","Mollusca","Gastropoda",,"Thiaridae","Melanoides",
"IPB-2002CT-RN012-ST3-FN003","Nais","Nais Müller, 1774","9563151","EXACT","95","ACCEPTED","GENUS","Animalia","Annelida","Clitellata","Haplotaxida","Naididae","Nais",
"IPB-2002IL-RN010-ST1-FN001","Melanoides tuberculata","Melanoides tuberculata (O.F.Müller, 1774)","4362965","EXACT","100","ACCEPTED","SPECIES","Animalia","Mollusca","Gastropoda",,"Thiaridae","Melanoides","Melanoides tuberculata"
"IPB-2002IL-RN010-ST1-FN005","Nematoda","Nematoda","5967481","EXACT","96","ACCEPTED","PHYLUM","Animalia","Nematoda",,,,,
"IPB-2002IL-RN010-ST2-FN001","Melanoides tuberculata","Melanoides tuberculata (O.F.Müller, 1774)","4362965","EXACT","100","ACCEPTED","SPECIES","Animalia","Mollusca","Gastropoda",,"Thiaridae","Melanoides","Melanoides tuberculata"
"IPB-2002IL-RN010-ST3-FN001","Melanoides tuberculata","Melanoides tuberculata (O.F.Müller, 1774)","4362965","EXACT","100","ACCEPTED","SPECIES","Animalia","Mollusca","Gastropoda",,"Thiaridae","Melanoides","Melanoides tuberculata"
"IPB-2002IL-RN010-ST3-FN004","Podonominae","Animalia","1","HIGHERRANK","99","ACCEPTED","KINGDOM","Animalia",,,,,,
"IPB-2002IL-RN010-ST4-FN001","Melanoides tuberculata","Melanoides tuberculata (O.F.Müller, 1774)","4362965","EXACT","100","ACCEPTED","SPECIES","Animalia","Mollusca","Gastropoda",,"Thiaridae","Melanoides","Melanoides tuberculata"
"IPB-2002IL-RN010-ST5-FN001","Melanoides tuberculata","Melanoides tuberculata (O.F.Müller, 1774)","4362965","EXACT","100","ACCEPTED","SPECIES","Animalia","Mollusca","Gastropoda",,"Thiaridae","Melanoides","Melanoides tuberculata"
"IPB-2002IL-RN010-ST6-FN001","Melanoides tuberculata","Melanoides tuberculata (O.F.Müller, 1774)","4362965","EXACT","100","ACCEPTED","SPECIES","Animalia","Mollusca","Gastropoda",,"Thiaridae","Melanoides","Melanoides tuberculata"
"IPB-2002IL-RN010-ST7-FN001","Melanoides tuberculata","Melanoides tuberculata (O.F.Müller, 1774)","4362965","EXACT","100","ACCEPTED","SPECIES","Animalia","Mollusca","Gastropoda",,"Thiaridae","Melanoides","Melanoides tuberculata"
"IPB-2002SK-RN011-ST2-FN001","Melanoides punctata","Melanoides Olivier, 1804","2300936","HIGHERRANK","95","ACCEPTED","GENUS","Animalia","Mollusca","Gastropoda",,"Thiaridae","Melanoides",
"IPB-2002SK-RN011-ST2-FN002","Brotiaadicea","Animalia","1","HIGHERRANK","99","ACCEPTED","KINGDOM","Animalia",,,,,,
"IPB-2002SK-RN011-ST2-FN017","Tubifex","Tubifex Lamarck, 1816","8133924","EXACT","95","ACCEPTED","GENUS","Animalia","Annelida","Polychaeta",,"Maldanidae","Tubifex",
"IPB-2002SK-RN011-ST2-FN018","Fridericia","Fridericia Michaelsen, 1889","2308358","EXACT","95","ACCEPTED","GENUS","Animalia","Annelida","Clitellata","Enchytraeida","Enchytraeidae","Fridericia",
"IPB-2002SK-RN011-ST3-FN001","Melanoides punctata","Melanoides Olivier, 1804","2300936","HIGHERRANK","95","ACCEPTED","GENUS","Animalia","Mollusca","Gastropoda",,"Thiaridae","Melanoides",
"IPB-2002SK-RN011-ST3-FN002","Melanoides tuberculata","Melanoides tuberculata (O.F.Müller, 1774)","4362965","EXACT","100","ACCEPTED","SPECIES","Animalia","Mollusca","Gastropoda",,"Thiaridae","Melanoides","Melanoides tuberculata"
